datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,anc,anh2,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vol,x2
2009-11-01,RMA,ft,7,9504.00,1959.00,6810.00,958.31,4059.38,1.00,0.00,409.33,3.03,3.61,5138.50,5138.50,433.55,12300.04,471.23,614.05,7367.83,7367.83,1104.64,2026.85,503.28,14096.51,13606.13,14244.23,460.09,472.76,13975.71,1716.59,10574.22,13713.47,9841.52,433.41,396.50,827.32,15385.66,313.02,620.34,516.77,366.75,13062.86,445.64,157.06,1248.87,461.86,1137.96,400.28,12889.02,87.52
2009-11-02,RMA,ft,7,9533.70,1745.00,7283.00,2526.63,1883.40,1.00,0.00,458.04,3.72,3.65,5288.27,5288.27,441.78,12483.57,411.81,663.53,7591.71,7591.71,1177.55,2324.04,532.22,14459.67,13802.71,14493.79,479.96,495.73,13943.64,1894.77,11006.43,14037.26,9739.87,441.54,413.62,813.96,16210.49,331.84,619.64,507.95,410.90,13158.98,489.25,154.61,1396.69,409.61,1248.81,407.83,13106.61,88.17
2009-11-03,RMA,ft,7,9507.30,1616.00,4421.00,2512.28,4523.04,1.00,0.00,504.54,4.35,3.76,5438.30,5438.30,453.25,12687.10,410.98,719.45,7853.30,7853.30,1253.04,2646.78,564.91,14914.94,14100.72,14897.47,506.23,524.66,14031.94,2028.43,11473.04,14422.90,9632.20,452.33,419.84,797.07,17077.81,354.55,615.91,499.09,456.56,13293.60,551.54,155.11,1594.85,406.24,1380.84,439.40,13332.54,88.76
2009-11-04,RMA,ft,7,9585.40,1578.00,4371.00,2478.63,4626.87,1.00,0.00,528.08,4.85,4.00,5750.05,5750.05,473.71,12935.92,427.16,792.66,8326.06,8326.06,1346.39,3100.36,606.67,15551.55,14497.55,15517.23,542.15,563.37,14223.44,2201.30,12186.49,14958.93,9506.28,472.04,424.19,747.14,18216.49,382.16,608.96,491.73,521.89,13476.16,660.52,156.43,1858.89,415.04,1545.27,480.91,13620.02,89.22
2009-11-05,RMA,ft,7,9373.10,1523.00,4420.00,2332.43,4461.75,1.00,0.00,547.13,4.93,3.97,5868.95,5868.95,498.58,13149.78,453.14,850.50,8655.63,8655.63,1423.78,3385.46,648.97,16198.28,14986.84,16198.05,580.24,603.74,14501.92,2290.63,12615.68,15491.29,9427.65,496.30,430.42,616.68,18864.48,410.34,600.74,486.67,563.61,13698.61,727.34,159.87,2084.09,422.65,1704.43,513.68,13907.10,90.18
2009-11-06,RMA,ft,7,8794.50,1459.00,4392.00,2236.96,3982.77,1.00,0.00,581.25,4.73,3.83,5568.57,5568.57,521.17,13285.96,483.84,892.23,8243.56,8243.56,1453.15,3136.04,690.46,16537.53,15431.21,16574.75,613.15,638.69,14804.79,2168.03,12339.54,15794.54,9341.49,517.95,438.33,525.59,18655.36,424.97,595.36,484.42,540.28,13911.12,662.29,166.85,1994.29,434.24,1669.22,536.55,14120.66,89.47
2009-11-07,RMA,ft,7,9809.80,1427.00,3590.00,2079.23,5929.17,0.00,0.00,611.92,4.25,3.71,5316.48,5316.48,547.70,13418.51,512.84,936.74,7823.37,7823.37,1475.84,2841.04,728.04,16708.00,15755.06,16695.21,645.94,672.93,15083.96,2087.33,12053.94,15973.14,9259.62,543.89,448.28,513.22,18445.25,434.35,588.33,484.52,548.99,14115.16,583.73,163.07,1837.16,444.18,1582.21,560.94,14296.69,88.84
2009-11-08,RMA,ft,7,9183.90,1392.00,4473.00,1892.84,4612.46,0.00,0.00,608.75,3.59,3.55,4927.83,4927.83,576.34,13497.70,540.88,943.65,7127.70,7127.70,1474.73,2330.87,752.11,16643.37,15945.46,16538.71,668.72,694.90,15297.44,1971.20,11466.63,15955.86,9129.51,572.29,462.15,527.03,17910.76,441.02,580.60,488.03,545.54,14292.32,458.15,159.45,1573.36,455.83,1447.91,590.87,14402.01,87.98
2009-11-09,RMA,ft,7,9721.80,1340.00,4447.00,1746.73,5460.86,0.00,0.00,647.67,2.94,3.58,4635.76,4635.76,602.67,13600.04,568.07,944.07,6572.18,6572.18,1465.76,1912.01,769.36,16504.92,16017.32,16310.13,685.42,710.51,15451.87,1882.88,11010.25,15890.55,9019.42,598.59,479.49,546.54,17602.34,448.54,571.75,495.12,540.88,14450.15,383.34,162.43,1326.86,465.41,1317.51,611.21,14498.21,86.78
2009-11-10,RMA,ft,7,9561.20,1320.00,4451.00,1589.70,5429.61,0.00,0.00,675.33,2.51,3.50,4364.95,4364.95,624.98,13700.12,590.43,948.41,6172.87,6172.87,1455.80,1579.60,783.86,16379.48,16029.26,16159.08,699.83,724.16,15551.27,1804.47,10564.67,15822.23,8946.28,620.99,498.98,568.76,17301.54,456.45,563.43,505.47,535.19,14599.45,334.64,162.39,1143.34,477.31,1228.24,626.72,14582.17,86.05
2009-11-11,RMA,ft,7,9870.30,1296.00,4455.00,1422.68,5695.18,0.00,0.00,680.75,2.39,3.58,4197.34,4197.34,644.46,13827.42,608.70,956.05,6025.04,6025.04,1452.41,1410.95,799.91,16342.88,16019.52,16144.85,715.45,739.30,15628.36,1773.79,10406.78,15839.16,8896.43,640.79,519.44,590.15,17360.91,466.34,556.06,518.43,548.45,14734.99,310.27,163.96,1042.26,489.56,1165.14,655.87,14687.92,85.27
2009-11-12,RMA,ft,7,9853.80,1278.00,4451.00,1313.44,5891.59,0.00,0.00,692.38,2.53,3.69,4259.51,4259.51,665.58,13990.60,626.16,978.63,6245.35,6245.35,1464.21,1423.06,820.56,16474.32,16046.29,16356.32,734.92,758.52,15707.49,1812.61,10710.75,15997.17,8885.60,662.33,542.14,607.97,17884.42,481.54,549.59,533.46,590.08,14874.30,305.77,170.71,1036.00,501.47,1163.80,676.76,14833.56,85.35
2009-11-13,RMA,ft,7,9563.40,1279.00,4455.00,1148.97,5885.79,0.00,0.00,699.46,2.94,3.61,4273.09,4273.09,683.31,14113.69,643.97,1001.47,6375.62,6375.62,1478.35,1431.98,842.92,16677.14,16147.98,16599.38,755.60,778.82,15802.96,1819.18,10846.48,16175.87,8862.69,680.08,564.20,628.72,18107.68,499.53,545.02,550.43,616.90,15005.35,301.37,175.81,1055.53,519.78,1186.18,687.27,14972.23,85.63
2009-11-14,RMA,ft,7,9496.30,1310.00,4656.00,1140.08,5360.06,0.00,0.00,703.00,3.66,3.51,4214.36,4214.36,699.55,14226.51,660.89,1014.72,6303.06,6303.06,1487.06,1416.05,860.50,16848.09,16296.42,16729.77,775.26,797.98,15924.98,1793.80,10815.04,16307.33,8824.15,696.09,581.62,651.40,18078.86,516.59,542.27,568.55,629.83,15126.05,301.39,176.29,1049.64,538.00,1180.67,696.69,15107.98,85.64
